topic,term,beta,term_eng
1,sagen,0.0264,say
1,prozent,0.0163,percent
1,dass,0.015,that
1,spd,0.0143,spd
1,jahr,0.0102,year
1,geben,0.0095,give
1,erst,0.0063,first
1,partei,0.0062,party
1,berlin,0.0061,Berlin
1,grüne,0.0061,green
1,sollen,0.0061,should
1,kommen,0.0059,come
1,stehen,0.0059,stand
1,gehen,0.0058,go
1,cdu,0.0056,cdu
1,halten,0.0049,hold
1,mehr,0.0048,more
1,politisch,0.0048,politically
1,spiegel,0.0047,mirror
1,erklären,0.0044,to explain
1,lassen,0.0042,to let
1,union,0.0042,union
1,sprechen,0.0041,speak
1,zwei,0.0041,two
1,seit,0.0039,since
1,neu,0.0038,New
1,laut,0.0037,according to
1,schröder,0.0036,Schroeder
1,stoiber,0.0035,stoiber
1,bundestag,0.0034,Bundestag
1,immer,0.0033,always
1,gut,0.0032,Good
1,heute,0.0031,today
1,etwa,0.0031,about
1,csu,0.0031,Christian Social Union
1,wahlkampf,0.0031,electioneering
1,umfrage,0.003,survey
1,schon,0.0029,beautiful
1,entscheidung,0.0029,decision
1,jung,0.0029,young
1,wenige,0.0027,few
1,nehmen,0.0027,to take
1,liegen,0.0026,lie
1,kanzler,0.0025,chancellor
1,bleiben,0.0024,stay
1,schreiben,0.0024,write
1,wissen,0.0024,knowledge
1,tag,0.0023,Day
1,dagegen,0.0023,on the other hand
1,dafür,0.0023,for this
2,sagen,0.0291,say
2,spd,0.0151,spd
2,deutschland,0.0111,Germany
2,müssen,0.008,have to
2,geben,0.0077,give
2,gehen,0.0076,go
2,berlin,0.0074,Berlin
2,neu,0.0074,New
2,jahr,0.0068,year
2,deutsch,0.0067,German
2,gut,0.0067,Good
2,sollen,0.0066,should
2,union,0.0065,union
2,koalition,0.0059,coalition
2,erst,0.0056,first
2,bundestag,0.0054,Bundestag
2,regierung,0.0047,government
2,euro,0.0047,Euro
2,stoiber,0.0045,stoiber
2,grüne,0.0044,green
2,halten,0.0043,hold
2,viele,0.0043,lots
2,schröder,0.0042,Schroeder
2,frage,0.0042,question
2,csu,0.0042,Christian Social Union
2,groß,0.004,big
2,stellen,0.004,put
2,dass,0.0039,that
2,dürfen,0.0038,allowed
2,zeigen,0.0038,demonstrate
2,woche,0.0037,week
2,tag,0.0034,Day
2,vergangen,0.0034,past
2,fall,0.0034,case
2,treffen,0.0033,to meet
2,cdu,0.0032,cdu
2,weit,0.0031,far
2,wegen,0.0029,because of
2,wahl,0.0029,choice
2,online,0.0028,on-line
2,deshalb,0.0028,that's why
2,gesetz,0.0028,law
2,laut,0.0027,according to
2,fdp,0.0027,fdp
2,september,0.0025,September
2,rotgrün,0.0025,Red Green
2,gelten,0.0024,be valid
2,bundesregierung,0.0024,federal government
2,müntefering,0.0024,müntefering
2,monat,0.0024,month
3,stimme,0.2355,voice
3,stimmen,0.1242,be right
3,köhler,0.0506,köhler
3,simonis,0.0172,simonis
3,wahlgang,0.015,ballot
3,wählen,0.0143,choose
3,frei,0.014,free
3,mehrheit,0.0125,majority
3,wahl,0.0103,choice
3,wähler,0.0086,voter
3,bundesrat,0.0074,Federal Council
3,sitz,0.0074,Seat
3,dass,0.007,that
3,abstimmung,0.0069,poll
3,lager,0.0063,camp
3,kandidatin,0.006,nominee
3,cdu,0.0045,cdu
3,heide,0.0045,pagan
3,landtag,0.0044,Parliament
3,wiederwahl,0.0044,re-election
3,sagen,0.0043,say
3,bundespräsident,0.0042,bundespräsident
3,amtsinhaber,0.0042,office bearer
3,union,0.0039,union
3,länderkammer,0.0038,country-chamber
3,bürgerlich,0.0038,civil
3,mehr,0.0038,more
3,kiel,0.0037,keel
3,rotgrün,0.0037,Red Green
3,koalition,0.0036,coalition
3,delegiert,0.0035,delegated
3,erforderlich,0.0034,required
3,bundestag,0.0033,Bundestag
3,absolut,0.0033,absolute
3,kandidat,0.0033,candidate
3,fdp,0.0032,fdp
3,enthaltung,0.0032,abstention
3,wahlkreis,0.003,constituency
3,peter,0.0027,Peter
3,schleswigholstein,0.0026,Schleswig holstein
3,beide,0.0025,both
3,schon,0.0025,beautiful
3,spiegel,0.0025,mirror
3,jahr,0.0024,year
3,bundestagswahl,0.0023,bundestagswahl
3,csu,0.0023,Christian Social Union
3,ministerpräsident,0.0022,prime minister
